Tech Level	Price	Privacy	PriceFocused	PrivacyFocused
Average User	5	6	1	0
Average User	1	5	1	0
Average User	8	1	0	1
Average User	1	3	1	0
Average User	6	3	0	1
Average User	7	6	0	1
Average User	1	5	1	0
Average User	1	5	1	0
Average User	2	5	1	0
Average User	7	9	1	0
Average User	1	4	1	0
Average User	5	3	0	1
Average User	2	5	1	0
Average User	1	2	1	0
Average User	6	1	0	1
Average User	1	8	1	0
Average User	2	7	1	0
Average User	2	5	1	0
Average User	7	5	0	1
Average User	1	3	1	0
Average User	1	5	1	0
Average User	8	4	0	1
Average User	1	7	1	0
Average User	1	4	1	0
Average User	9	5	0	1
Average User	1	6	1	0
Average User	1	7	1	0
Average User	3	10	1	0
Average User	1	3	1	0
Average User	10	2	0	1
Average User	4	5	1	0
Average User	6	9	1	0
Average User	1	9	1	0
Average User	6	8	1	0
Average User	7	10	1	0
Average User	1	9	1	0
Average User	1	5	1	0
Average User	5	7	1	0
Average User	8	1	0	1
Average User	6	3	0	1
Average User	5	8	1	0
Average User	1	5	1	0
Average User	2	10	1	0
Average User	3	7	1	0
Average User	4	8	1	0
Average User	8	1	0	1
Average User	7	1	0	1
Average User	10	4	0	1
Average User	8	2	0	1
Average User	9	7	0	1
Average User	9	1	0	1
Average User	1	6	1	0
Average User	2	6	1	0
Average User	2	5	1	0
Average User	1	4	1	0
Average User	6	9	1	0
Average User	7	5	0	1
Average User	3	2	0	1
Average User	2	6	1	0
Average User	7	5	0	1
Average User	1	8	1	0
Average User	4	5	1	0
Average User	6	1	0	1
Average User	5	2	0	1
Average User	1	4	1	0
Average User	1	5	1	0
Average User	7	1	0	1
Average User	7	4	0	1
Average User	2	4	1	0
Average User	2	9	1	0
Average User	7	3	0	1
Average User	5	2	0	1
Average User	1	4	1	0
Average User	1	9	1	0
Average User	3	2	0	1
Average User	7	1	0	1
Average User	1	2	1	0
Average User	5	7	1	0
Average User	1	2	1	0
Average User	10	4	0	1
Average User	1	3	1	0
Average User	4	9	1	0
Average User	2	6	1	0
Average User	1	7	1	0
Average User	4	7	1	0
Average User	2	7	1	0
Average User	1	10	1	0
Average User	7	5	0	1
Average User	1	6	1	0
Average User	6	9	1	0
Average User	8	1	0	1
Average User	5	2	0	1
Average User	4	7	1	0
Average User	1	4	1	0
Average User	2	6	1	0
Average User	2	6	1	0
Average User	1	4	1	0
Average User	2	5	1	0
Average User	5	1	0	1
Average User	9	4	0	1
Average User	3	5	1	0
Average User	7	2	0	1
Average User	6	2	0	1
Average User	4	7	1	0
Average User	1	7	1	0
Average User	2	7	1	0
Average User	5	3	0	1
Average User	1	10	1	0
Average User	2	4	1	0
Average User	1	7	1	0
Average User	4	1	0	1
Average User	1	5	1	0
Average User	1	6	1	0
Average User	5	2	0	1
Average User	10	7	0	1
Average User	8	4	0	1
Average User	2	7	1	0
Average User	2	7	1	0
Average User	3	5	1	0
Average User	10	6	0	1
Average User	5	7	1	0
Average User	6	3	0	1
Average User	2	5	1	0
Average User	1	4	1	0
Average User	6	3	0	1
Average User	3	8	1	0
Average User	1	7	1	0
Average User	6	1	0	1
Average User	4	2	0	1
Average User	1	6	1	0
Average User	6	8	1	0
Average User	2	8	1	0
Average User	3	1	0	1
Average User	6	4	0	1
Average User	2	6	1	0
Average User	7	3	0	1
Average User	7	9	1	0
Average User	5	7	1	0
Average User	3	4	1	0
Average User	3	6	1	0
Average User	7	3	0	1
Average User	8	3	0	1
Average User	10	5	0	1
Average User	10	2	0	1
Average User	4	6	1	0
Average User	2	1	0	1
Average User	1	7	1	0
Average User	7	4	0	1
Average User	1	7	1	0
Average User	3	8	1	0
Average User	7	4	0	1
Average User	1	9	1	0
Average User	9	2	0	1
Average User	1	6	1	0
Average User	4	7	1	0
Average User	8	2	0	1
Average User	5	3	0	1
Average User	1	7	1	0
Average User	7	3	0	1
Average User	2	3	1	0
Average User	3	8	1	0
Average User	9	3	0	1
Average User	7	1	0	1
Average User	1	3	1	0
Average User	5	3	0	1
Average User	8	4	0	1
Average User	2	6	1	0
Average User	1	8	1	0
Average User	5	1	0	1
Average User	7	3	0	1
Average User	5	7	1	0
Average User	1	7	1	0
Average User	1	8	1	0
Average User	2	1	0	1
Average User	8	4	0	1
Average User	2	7	1	0
Average User	8	3	0	1
Average User	5	4	0	1
Average User	6	2	0	1
Average User	2	6	1	0
Average User	7	4	0	1
Average User	6	5	0	1
Average User	10	3	0	1
Average User	6	8	1	0
Average User	4	1	0	1
Average User	6	5	0	1
Average User	8	7	0	1
Average User	4	7	1	0
Average User	3	6	1	0
Average User	10	1	0	1
Average User	9	2	0	1
Average User	1	7	1	0
Average User	10	5	0	1
Average User	6	1	0	1
Average User	5	8	1	0
Average User	1	5	1	0
Average User	9	3	0	1
Average User	1	6	1	0
Average User	2	5	1	0
Average User	1	6	1	0
Average User	4	10	1	0
Average User	10	1	0	1
Average User	4	2	0	1
Average User	5	1	0	1
Average User	1	5	1	0
Average User	8	4	0	1
Average User	4	3	0	1
Average User	2	5	1	0
Average User	3	4	1	0
Average User	3	6	1	0
Average User	1	3	1	0
Average User	10	1	0	1
Average User	1	9	1	0
Average User	8	2	0	1
Average User	8	6	0	1
Average User	1	7	1	0
Average User	1	3	1	0
Average User	3	9	1	0
Average User	5	1	0	1
Average User	1	4	1	0
Average User	10	4	0	1
Average User	3	2	0	1
Average User	4	3	0	1
Average User	1	3	1	0
Average User	7	2	0	1
Average User	6	4	0	1
Average User	8	5	0	1
Average User	10	3	0	1
Average User	1	5	1	0
Average User	6	4	0	1
Average User	6	1	0	1
Average User	1	2	1	0
Average User	10	5	0	1
Average User	3	4	1	0
Average User	10	1	0	1
Average User	5	1	0	1
Average User	1	3	1	0
Average User	2	4	1	0
Average User	1	4	1	0
Average User	1	4	1	0
Average User	4	2	0	1
Average User	3	6	1	0
Average User	1	4	1	0
Average User	3	6	1	0
Average User	6	1	0	1
Average User	4	7	1	0
Average User	1	6	1	0
Average User	9	1	0	1
Average User	1	6	1	0
Average User	8	3	0	1
Average User	1	5	1	0
Average User	1	6	1	0
Average User	1	4	1	0
Average User	4	1	0	1
Average User	5	2	0	1
Average User	2	5	1	0
Average User	2	6	1	0
Average User	4	8	1	0
Average User	7	3	0	1
Average User	5	1	0	1
Average User	1	4	1	0
Average User	4	6	1	0
Average User	6	7	1	0
Average User	7	4	0	1
Average User	1	4	1	0
Average User	4	2	0	1
Average User	1	10	1	0
Average User	7	5	0	1
Average User	1	2	1	0
Average User	9	3	0	1
Average User	1	5	1	0
Average User	8	5	0	1
Average User	5	3	0	1
Average User	1	10	1	0
Average User	10	8	0	1
Average User	1	9	1	0
Average User	9	3	0	1
Average User	6	7	1	0
Average User	1	2	1	0
Average User	1	7	1	0
Average User	1	3	1	0
Average User	1	6	1	0
Average User	1	6	1	0
Average User	2	9	1	0
Average User	6	9	1	0
Average User	1	7	1	0
Average User	5	3	0	1
Average User	1	2	1	0
Average User	5	3	0	1
Average User	2	6	1	0
Average User	4	6	1	0
Average User	6	2	0	1
Average User	1	3	1	0
Average User	3	6	1	0
Average User	1	4	1	0
Average User	7	3	0	1
Average User	6	2	0	1
Average User	5	8	1	0
Average User	1	2	1	0
Average User	2	9	1	0
Average User	3	5	1	0
Average User	2	4	1	0
Average User	7	2	0	1
Average User	10	7	0	1
Average User	1	8	1	0
Average User	5	2	0	1
Average User	1	10	1	0
Average User	3	5	1	0
Average User	1	5	1	0
Average User	7	3	0	1
Average User	2	9	1	0
Average User	10	4	0	1
Average User	5	6	1	0
Average User	2	7	1	0
Average User	3	2	0	1
Average User	1	3	1	0
Average User	1	9	1	0
Average User	1	8	1	0
Average User	1	3	1	0
Average User	1	5	1	0
Average User	3	10	1	0
Average User	4	1	0	1
Average User	8	7	0	1
Average User	2	6	1	0
Average User	4	5	1	0
Average User	4	5	1	0
Average User	3	8	1	0
Average User	1	8	1	0
Average User	8	10	1	0
Average User	10	5	0	1
Average User	5	1	0	1
Average User	1	8	1	0
Average User	3	6	1	0
Average User	1	5	1	0
Average User	5	7	1	0
Average User	1	7	1	0
Average User	2	4	1	0
Average User	1	7	1	0
Average User	1	9	1	0
Average User	1	4	1	0
Average User	3	7	1	0
Average User	2	5	1	0
Average User	8	2	0	1
Average User	2	4	1	0
Average User	2	9	1	0
Average User	2	9	1	0
Average User	1	5	1	0
Average User	1	7	1	0
Average User	1	7	1	0
Average User	1	2	1	0
Average User	1	5	1	0
Average User	1	2	1	0
Average User	1	8	1	0
Average User	6	3	0	1
Average User	6	4	0	1
Average User	7	3	0	1
Average User	1	6	1	0
Average User	1	4	1	0
Average User	4	10	1	0
Average User	1	6	1	0
Average User	6	9	1	0
Average User	10	2	0	1
Average User	1	3	1	0
Average User	1	7	1	0
Average User	1	4	1	0
Average User	1	2	1	0
Average User	9	2	0	1
Average User	7	10	1	0
Average User	8	7	0	1
Average User	1	5	1	0
Average User	1	6	1	0
Average User	5	1	0	1
Average User	7	2	0	1
Average User	5	8	1	0
Average User	3	6	1	0
Average User	1	5	1	0
Average User	1	9	1	0
Average User	4	10	1	0
Average User	7	4	0	1
Average User	1	7	1	0
Average User	4	7	1	0
Average User	3	4	1	0
Average User	3	9	1	0
Average User	2	8	1	0
Average User	1	3	1	0
Average User	1	8	1	0
Average User	2	6	1	0
Average User	1	6	1	0
Average User	3	4	1	0
Average User	1	9	1	0
Average User	1	3	1	0
Average User	3	4	1	0
Average User	1	6	1	0
Average User	4	5	1	0
Average User	1	9	1	0
Average User	1	6	1	0
Average User	4	2	0	1
Average User	1	7	1	0
Average User	8	1	0	1
Average User	1	6	1	0
Average User	6	2	0	1
Average User	1	7	1	0
Average User	4	7	1	0
Average User	3	2	0	1
Average User	1	4	1	0
Average User	4	6	1	0
Average User	1	2	1	0
Average User	4	7	1	0
Average User	1	5	1	0
Average User	1	6	1	0
Average User	3	10	1	0
Average User	1	7	1	0
Average User	5	2	0	1
Average User	2	8	1	0
